sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
122,342.0,223.0,103,342,320,254,307
303,145.0,57.0,25,352,113,216,46
28,387.0,254.0,324,377,386,344,14
173,105.0,46.0,109,219,409,291,237
410,196.0,25.0,22,231,262,301,249
174,110.0,112.0,223,372,399,352,269
385,410.0,178.0,72,387,244,335,153
277,67.0,197.0,57,261,341,16,383
263,166.0,206.0,281,204,230,67,41
56,402.0,251.0,8,364,347,367,163
121,272.0,69.0,255,323,315,310,219
268,312.0,400.0,39,248,382,92,331
408,281.0,225.0,309,290,290,103,104
68,340.0,275.0,384,23,76,274,241
134,352.0,170.0,12,73,131,309,266
243,25.0,224.0,112,215,128,287,44
359,156.0,321.0,46,201,323,302,402
334,92.0,218.0,148,53,127,218,137
291,192.0,345.0,154,206,147,25,124
316,382.0,181.0,287,79,374,185,197
296,13.0,324.0,238,67,82,196,375
307,109.0,34.0,33,217,383,109,32
105,116.0,348.0,105,54,283,89,381
48,237.0,114.0,170,70,282,345,139
285,153.0,402.0,68,30,2,154,68
280,62.0,367.0,108,345,144,275,210
252,164.0,19.0,212,382,361,306,71
336,321.0,148.0,359,197,218,69,378
52,204.0,180.0,218,381,239,333,6
204,246.0,53.0,121,233,47,39,228
100,131.0,147.0,9,279,93,372,136
381,64.0,44.0,125,246,60,8,52
155,392.0,93.0,20,71,391,26,263
401,248.0,276.0,210,341,273,101,38
132,111.0,76.0,347,46,165,391,356
5,17.0,78.0,97,142,138,340,177
66,30.0,383.0,142,392,261,46,312
27,184.0,33.0,310,13,168,124,253
126,132.0,380.0,147,140,394,78,301
17,71.0,73.0,340,375,79,33,230
241,59.0,248.0,155,154,258,19,354
128,151.0,171.0,201,354,208,197,51
411,201.0,334.0,334,391,379,394,296
77,377.0,102.0,333,296,412,113,289
39,148.0,319.0,194,266,251,256,13
23,243.0,61.0,23,62,117,199,346
245,34.0,207.0,236,184,406,57,22
217,162.0,236.0,51,182,97,223,21
206,370.0,109.0,284,411,41,29,1
130,6.0,389.0,391,304,304,30,393
269,364.0,278.0,44,371,89,40,78
51,279.0,394.0,260,281,137,125,270
313,84.0,369.0,53,282,284,72,77
