sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
122,342,223,103,342,320,254,307
303,145,57,25,352,113,216,46
28,387,254,324,377,386,344,14
173,105,46,109,219,409,291,237
410,196,25,22,231,262,301,249
174,110,112,223,372,399,352,269
385,410,178,72,387,244,335,153
277,67,197,57,261,341,16,383
263,166,103,281,204,230,67,41
56,402,206,8,364,347,367,163
121,272,251,255,323,315,310,219
268,312,69,39,248,382,92,331
408,281,400,309,290,290,103,104
68,340,225,384,23,76,274,241
134,352,275,12,73,131,309,266
243,25,170,112,215,128,287,44
359,156,224,46,201,323,302,402
334,92,321,148,53,127,218,137
291,192,218,154,206,147,25,124
316,382,345,287,79,374,185,197
296,13,181,238,67,82,196,375
307,109,324,33,217,383,109,32
105,116,34,105,54,283,89,381
48,237,348,170,70,282,345,139
285,153,114,68,30,2,154,68
280,62,402,108,345,144,275,210
252,164,367,212,382,361,306,71
336,321,136,359,197,218,69,378
52,204,19,218,381,239,333,6
204,246,148,121,233,47,39,228
100,131,180,9,279,93,372,136
381,64,53,125,246,60,8,52
155,392,147,20,71,391,26,263
401,248,44,210,341,273,101,38
132,111,93,347,46,165,391,356
5,17,276,97,142,138,340,177
66,30,76,142,392,261,46,312
27,184,78,310,13,168,124,253
126,132,383,147,140,394,78,301
17,71,33,340,375,79,33,230
241,59,380,155,154,258,19,354
128,151,73,201,354,208,197,51
411,201,248,334,391,379,394,296
77,377,211,333,296,412,113,289
39,148,171,194,266,251,256,13
23,243,334,23,62,117,199,346
245,34,8,236,184,406,57,22
217,162,102,51,182,97,223,21
206,370,319,284,411,41,29,1
130,6,61,391,304,304,30,393
269,364,207,44,371,89,40,78
51,279,236,260,281,137,125,270
313,84,109,53,282,284,72,77
338,163,389,18,160,237,81,272
304,261,278,254,125,148,201,217
250,292,394,291,216,8,278,60
406,52,369,28,24,245,94,349
356,103,233,40,58,149,219,50
21,277,347,38,69,308,22,93
18,128,94,243,164,302,260,271
412,63,154,78,151,15,112,293
111,405,216,81,155,102,181,188
386,317,188,90,245,34,259,193
220,318,101,93,2,250,168,320
393,41,261,367,72,314,76,102
284,40,59,269,278,24,324,370
62,219,22,197,274,229,241,181
323,355,314,198,229,367,348,258
136,140,155,191,81,61,178,63
387,23,127,268,183,366,341,40
180,9,51,263,394,135,249,347
158,89,357,188,148,256,246,128
177,136,246,187,103,36,236,161
201,327,125,195,225,348,142,281
161,185,318,235,116,53,170,410
131,66,340,202,340,159,386,98
31,398,386,411,87,207,378,332
107,176,55,209,84,178,166,325
20,294,344,225,326,202,73,61
258,368,406,251,298,249,384,107
242,90,89,249,367,94,148,286
191,57,5,248,74,33,300,2
40,108,83,213,268,214,68,291
184,74,377,216,156,248,288,166
398,155,18,244,410,289,377,251
390,19,255,220,120,151,387,336
281,394,391,185,295,183,53,319
74,316,185,275,130,223,213,143
276,381,172,224,405,231,237,88
311,339,9,412,172,62,182,360
324,304,208,182,145,407,60,362
407,360,333,62,309,380,90,18
143,257,30,98,325,209,238,75
377,209,60,94,192,279,355,310
221,406,291,83,113,75,123,100
364,357,364,76,57,370,51,186
368,233,12,75,40,326,24,235
113,125,260,73,110,125,258,376
26,173,2,69,86,188,104,327
353,188,272,66,368,411,144,215
160,181,274,60,19,112,157,401
328,171,202,180,265,205,195,109
94,224,282,54,153,175,179,85
81,306,238,48,196,211,141,37
54,310,121,37,255,104,176,123
342,351,320,35,337,266,74,148
84,8,10,31,114,177,7,268
232,73,182,27,344,87,155,87
198,401,355,19,350,26,18,81
86,251,384,10,21,14,326,9
118,220,104,100,272,203,97,292
409,113,382,101,312,213,224,256
278,157,32,102,234,184,150,26
153,359,316,107,401,38,281,67
298,213,328,179,385,132,209,146
384,274,388,178,63,80,145,142
352,285,227,177,35,392,12,165
264,97,79,169,193,65,410,115
332,297,264,163,258,398,171,218
235,404,84,159,280,123,23,348
1,161,302,157,319,328,105,242
395,5,41,152,163,119,91,206
370,87,378,150,370,124,402,280
270,10,200,145,404,43,31,158
294,330,267,144,300,9,71,407
286,353,203,278,361,333,255,372
135,86,35,138,101,69,411,315
271,245,279,134,28,368,194,308
211,212,331,119,177,227,159,355
9,183,162,114,175,40,42,329
144,142,309,113,334,20,251,318
73,250,249,141,355,311,319,65
299,96,366,206,398,321,350,96
295,273,393,1,343,78,401,295
237,174,133,400,59,185,126,132
288,24,363,368,317,146,220,365
16,269,205,307,181,186,380,28
87,76,244,377,118,243,262,374
10,189,58,311,358,164,172,182
42,288,290,313,228,270,54,34
365,159,85,387,275,141,379,172
273,38,301,316,362,395,264,369
80,372,123,345,7,129,129,389
140,299,214,394,185,110,320,221
