,sem_dens,demand,s_perph,s_num,conc,val,w_freq,c_div
0,-4.1902,-8.1292,1.4067,0.6547,-2.1096,-0.9432,-0.3952,-2.7985
1,-3.9637,-7.3401,2.1578,-0.7314,-1.3993,0.0289,-0.8762,-2.9702
2,-4.5129,-8.2423,2.1093,0.1491,-1.7145,-0.1914,-1.3274,-4.0717
3,-4.1824,-7.8168,1.2699,0.4662,-1.7582,-0.1181,-0.7494,-3.6387
4,-4.5872,-6.6966,2.2745,-0.2699,-1.2621,0.1566,0.2502,-3.5917
5,-4.6723,-6.643,1.156,0.6541,-2.2824,0.341,-0.6602,-3.3663
6,-4.3882,-7.1197,1.8964,-1.9006,-1.9067,-0.0375,1.2979,-4.0056
7,-3.1516,-7.9466,1.8436,0.739,-1.2403,0.1317,0.0771,-2.8664
8,-4.6984,-7.9196,0.7355,0.6833,-0.9465,-0.0403,0.4638,-2.7543
9,-5.2882,-6.6379,1.196,2.0054,-1.7399,0.4183,-1.4336,-2.4759
