word,hu19_sense,num_hu19_senses,pos,init_freq,decline_metric
able,able_1_adjective_2,2,adjective,2.72243668973478e-05,0.07300444506515943
abroad,abroad_1_adverb_2,4,adverb,6.533848055363473e-05,0.0491102935414383
abstract,abstract_1_verb_1,7,verb,4.537394482891301e-06,0.0888147318116744
abuse,abuse_1_noun_1,6,noun,2.359445131103476e-05,0.0847420254989321
accident,accident_1_noun_3,3,noun,1.270470455209564e-05,0.05193133047521649
accord,accord_1_verb_2,3,verb,1.088974675893912e-05,0.08291950155818664
accordingly,accordingly_1_adverb_2,2,adverb,3.902159255286519e-05,0.07466868303727758
account,account_1_noun_1,8,noun,8.167310069204341e-05,0.07134222572942628
account,account_1_noun_5,8,noun,7.895066400230863e-05,0.04694831273836727
account,account_1_verb_1,8,verb,1.6334620138408683e-05,0.06700491760995525
acknowledge,acknowledge_1_verb_2,3,verb,2.177949351787824e-05,0.07291755004053593
acquaintance,acquaintance_1_noun_1,2,noun,3.3576719173395625e-05,0.06936512607252661
acquire,acquire_1_verb_2,2,verb,7.078335393310429e-05,0.05664720937803487
address,address_1_noun_3,7,noun,9.0747889657826e-06,0.06439924502081917
admiral,admiral_1_noun_1,2,noun,8.802545296809123e-05,0.2154934344876522
admit,admit_1_verb_3,4,verb,5.626369158785213e-05,0.04524782805046033
admit,admit_1_verb_4,4,verb,0.0001079899886928,0.048525683826230286
adopt,adopt_1_verb_2,4,verb,5.989360717416517e-05,0.05533088637117481
adopt,adopt_1_verb_4,4,verb,2.7224366897347803e-06,0.15817393471327088
advance,advance_1_noun_1,9,noun,1.270470455209564e-05,0.10899901079056505
advance,advance_1_verb_1,9,verb,4.7188902622069525e-05,0.05618266850897038
advance,advance_1_verb_4,9,verb,2.4501930207613026e-05,0.1047968216402969
advantage,advantage_1_verb_1,3,verb,1.451966234525216e-05,0.10234056427914905
adventure,adventure_1_verb_1,2,verb,1.81495779315652e-06,0.1380570967650314
advice,advice_1_noun_3,3,noun,2.4501930207613026e-05,0.02964249033540327
affect,affect_2_verb_1,3,verb,6.806091724336951e-05,0.07499410978189959
affection,affection_1_noun_1,2,noun,4.7188902622069525e-05,0.053734232168539176
affection,affection_1_noun_2,2,noun,0.0001152498198654,0.05230447039359444
afford,afford_1_verb_2,2,verb,0.0001551788913148,0.04929262750960729
aged,aged_1_adjective_2,3,adjective,3.3576719173395625e-05,0.05650460770517473
aid,aid_1_noun_2,3,noun,8.348805848519993e-05,0.15423579121478606
air,air_1_noun_2,6,noun,2.6316888000769546e-05,0.07961403499565803
air,air_1_noun_3,6,noun,5.444873379469561e-06,0.09489842701575622
alarm,alarm_1_verb_1,3,verb,2.359445131103476e-05,0.08034964321835196
alive,alive_1_adjective_3,4,adjective,6.3523522760478206e-06,0.051654367762707314
allowance,allowance_1_noun_3,5,noun,5.444873379469561e-06,0.05430985929089547
allowance,allowance_1_verb_2,5,verb,2.7224366897347803e-06,0.09526101390663229
ally,ally_1_verb_1,2,verb,2.177949351787824e-05,0.09827304432785446
aloud,aloud_1_adverb_2,2,adverb,1.088974675893912e-05,0.0742117354304707
among,among_1_preposition_1,4,preposition,0.0001279545244175,0.053049385619244493
amusement,amusement_1_noun_2,3,noun,3.6299155863130405e-05,0.030426498566739932
angel,angel_1_noun_1,4,noun,0.000133399397797,0.10378526458402351
anguish,anguish_1_noun_1,2,noun,3.6299155863130405e-05,0.057488649953743094
anxious,anxious_1_adjective_2,2,adjective,3.8114113656286925e-05,0.062134403970346294
apology,apology_1_noun_3,3,noun,1.088974675893912e-05,0.07257677354716885
apparatus,apparatus_1_noun_1,3,noun,1.81495779315652e-06,0.17259771513823388
apparatus,apparatus_1_noun_3,3,noun,1.81495779315652e-06,0.09474796392389867
appeal,appeal_1_noun_3,7,noun,9.98226786236086e-06,0.10947650228484232
appearance,appearance_1_noun_3,3,noun,5.7171170484430384e-05,0.05874775262781297
application,application_1_noun_4,5,noun,2.7224366897347803e-06,0.12828289738059395
appointment,appointment_1_noun_2,3,noun,0.0001043600731064,0.13333155558910112
apprehension,apprehension_1_noun_1,3,noun,3.4484198069973885e-05,0.07017472974677752
apprehension,apprehension_1_noun_2,3,noun,2.177949351787824e-05,0.05799797041632287
apprehension,apprehension_1_noun_3,3,noun,1.179722565551738e-05,0.11099113358228481
approach,approach_1_noun_3,6,noun,4.0836550346021705e-05,0.058403309496794314
appropriate,appropriate_1_verb_1,3,verb,8.167310069204341e-06,0.0576998544141027
appropriate,appropriate_1_verb_2,3,verb,1.451966234525216e-05,0.06388169110721272
approve,approve_1_verb_2,2,verb,2.9946803587082585e-05,0.0753059758844295
apt,apt_1_adjective_2,3,adjective,5.081881820838256e-05,0.0408482984200063
apt,apt_1_adjective_3,3,adjective,2.7224366897347803e-06,0.09058790145836917
arc,arc_1_noun_3,5,noun,3.62991558631304e-06,0.25885301855690923
ardent,ardent_1_adjective_1,2,adjective,2.9946803587082585e-05,0.05145888028128642
ardent,ardent_1_adjective_2,2,adjective,9.98226786236086e-06,0.07105327337988417
argument,argument_1_noun_4,4,noun,1.6334620138408683e-05,0.08103185797317303
arise,arise_1_verb_1,2,verb,0.0001179722565551,0.05396983337239502
arise,arise_1_verb_2,2,verb,4.3558987035756485e-05,0.05670364557513195
array,array_1_noun_3,7,noun,1.81495779315652e-06,0.09784107460909473
array,array_1_noun_4,7,noun,9.98226786236086e-06,0.0735616364149905
array,array_1_verb_1,7,verb,5.444873379469561e-06,0.06001089725901955
array,array_1_verb_2,7,verb,1.088974675893912e-05,0.05585981189938293
arrest,arrest_1_verb_2,5,verb,1.36121834486739e-05,0.052620637114303155
arrest,arrest_1_verb_3,5,verb,6.3523522760478206e-06,0.07716896864254183
art,art_1_noun_4,4,noun,0.0002059977095232,0.08563506539475542
article,article_1_noun_1,6,noun,3.2669240276817365e-05,0.06186438287187603
article,article_1_noun_4,6,noun,9.0747889657826e-06,0.08019397066807578
artificial,artificial_1_adjective_2,3,adjective,1.7242099034986943e-05,0.0600770123007984
artificial,artificial_1_adjective_3,3,adjective,1.81495779315652e-06,0.1035450613746566
as,as_2_conjunction_3,8,conjunction,0.0006528745653837,0.05210273498029115
aspect,aspect_1_noun_2,4,noun,1.5427141241830423e-05,0.09362061626828164
aspect,aspect_1_noun_3,4,noun,6.3523522760478206e-06,0.10412001813334915
assembly,assembly_1_noun_1,4,noun,7.350579062283907e-05,0.09804218774127789
assume,assume_1_verb_3,3,verb,4.5373944828913005e-05,0.043200282906312934
assumption,assumption_1_noun_2,3,noun,3.62991558631304e-06,0.0804524145822708
assumption,assumption_1_noun_3,3,noun,1.81495779315652e-06,0.18507578160604474
assurance,assurance_1_noun_1,3,noun,2.8131845793926066e-05,0.08749548823412837
assurance,assurance_1_noun_2,3,noun,1.8149577931565203e-05,0.0548634625162845
attend,attend_1_verb_2,4,verb,6.352352276047821e-05,0.037335349387908605
attend,attend_1_verb_3,4,verb,2.72243668973478e-05,0.07477207628044584
attend,attend_1_verb_4,4,verb,3.4484198069973885e-05,0.04274227499529429
audience,audience_1_noun_2,3,noun,9.0747889657826e-06,0.09775662748640114
authority,authority_1_noun_1,3,noun,0.0001778658637293,0.12766379072756212
authority,authority_1_noun_3,3,noun,0.0001206946932449,0.05095407609111667
awe,awe_1_verb_1,2,verb,1.8149577931565203e-05,0.09315500960988068
awful,awful_1_adjective_3,4,adjective,7.713570620915211e-05,0.05500467544352243
baggage,baggage_1_noun_3,3,noun,1.81495779315652e-06,0.08717171891621979
bald,bald_1_adjective_2,2,adjective,3.62991558631304e-06,0.14677799762606603
band,band_2_noun_1,11,noun,6.261604386389995e-05,0.053076817508433315
band,band_2_noun_3,11,noun,7.25983117262608e-06,0.15219352117379809
banker,banker_1_noun_1,4,noun,5.444873379469561e-06,0.23900328260453707
banker,banker_1_noun_2,4,noun,3.62991558631304e-06,0.14674974582091146
banner,banner_1_noun_1,3,noun,3.5391676966552145e-05,0.12857444989456307
bar,bar_1_noun_5,11,noun,4.4466465932334745e-05,0.09494576116676912
base,base_2_adjective_1,14,adjective,1.088974675893912e-05,0.06732824159236367
be,be_1_auxiliary verb_4,8,auxiliary verb,0.0021053454299751,0.04511395428080025
be,be_1_verb_1,8,verb,4.593480938127515e-05,0.06358148953249441
beam,beam_1_noun_1,6,noun,4.537394482891301e-06,0.17941019085315313
beam,beam_1_verb_2,6,verb,1.179722565551738e-05,0.11182702462835041
bear,bear_1_verb_2,8,verb,6.715343834679125e-05,0.038300502447900134
bear,bear_1_verb_3,8,verb,0.0001942004838677,0.03514896633585306
bearing,bearing_1_noun_6,6,noun,2.7224366897347803e-06,0.07883060288988589
beauty,beauty_1_noun_1,3,noun,0.0001415667078662,0.05502423614148571
before,before_1_None_2,3,None,7.895066400230863e-05,0.06250735282529979
behalf,behalf_1_noun_3,3,noun,8.167310069204341e-06,0.07207071590324825
beloved,beloved_1_noun_1,2,noun,1.270470455209564e-05,0.08991556981102154
bend,bend_1_verb_3,10,verb,3.3576719173395625e-05,0.1426359112900684
benefit,benefit_1_verb_2,5,verb,2.7224366897347803e-06,0.06388535005768115
betray,betray_1_verb_1,2,verb,8.984041076124775e-05,0.10183005850256376
betray,betray_1_verb_2,2,verb,1.996453572472172e-05,0.061973950410686866
bid,bid_1_verb_2,6,verb,2.177949351787824e-05,0.1627995448582505
bid,bid_2_verb_1,6,verb,4.1744029242599965e-05,0.038260587790780516
bid,bid_2_verb_2,6,verb,4.991133931180431e-05,0.037803700772355994
bind,bind_1_noun_2,10,noun,1.36121834486739e-05,0.09500181213314356
bind,bind_1_verb_3,10,verb,6.533848055363473e-05,0.0539394153860161
bind,bind_1_verb_4,10,verb,5.989360717416517e-05,0.04165931243183674
bishop,bishop_1_noun_2,4,noun,4.537394482891301e-06,0.20156293030636832
bit,bit_1_noun_5,9,noun,2.7224366897347803e-06,0.15695106454235555
bitterly,bitterly_1_adverb_1,3,adverb,5.444873379469561e-06,0.1325854923164875
bitterness,bitterness_1_noun_2,2,noun,1.5427141241830423e-05,0.0810530354675744
blank,blank_1_noun_3,12,noun,4.537394482891301e-06,0.1101693921179752
blind,blind_1_verb_2,12,verb,1.5427141241830423e-05,0.0505379397972491
blow,blow_1_noun_1,15,noun,4.1744029242599965e-05,0.07023825130893128
blow,blow_1_noun_2,15,noun,4.537394482891301e-06,0.09979779740894842
blow,blow_3_noun_1,15,noun,3.62991558631304e-06,0.10634826726885882
blow,blow_3_verb_1,15,verb,3.6299155863130405e-05,0.07763754690337765
blush,blush_1_noun_1,6,noun,1.5427141241830423e-05,0.059063655351837226
blush,blush_1_noun_2,6,noun,1.270470455209564e-05,0.11442091451334156
blush,blush_1_verb_2,6,verb,4.1744029242599965e-05,0.15222315544857498
body,body_1_noun_3,9,noun,0.0001415667078662,0.10031011089721883
bold,bold_1_adjective_1,3,adjective,0.0001088974675893,0.062201465689583214
bond,bond_1_noun_1,8,noun,2.540940910419128e-05,0.07529452051646837
bore,bore_3_noun_1,6,noun,2.7224366897347803e-06,0.16700088089084938
bound,bound_2_noun_1,10,noun,2.8131845793926066e-05,0.06823945341092419
bound,bound_2_verb_1,10,verb,9.0747889657826e-06,0.0813862475692408
bow,bow_1_noun_4,11,noun,6.3523522760478206e-06,0.13206910492227253
bow,bow_2_verb_2,11,verb,2.4501930207613026e-05,0.06638511490382423
brand,brand_1_noun_3,5,noun,8.167310069204341e-06,0.1706359479806155
brass,brass_1_noun_2,4,noun,1.81495779315652e-06,0.2074946746501747
brave,brave_1_adjective_1,3,adjective,0.0001315844400038,0.05134184247192778
