dec_sense,stb_sense
press_2_noun_1,scale_3_noun_2
exercise_1_noun_3,question_1_noun_1
glare_1_noun_3,paint_1_noun_2
melancholy_1_adjective_1,individual_1_adjective_2
nurse_1_noun_2,verge_1_noun_2
distinguish_1_verb_2,manufacture_1_verb_2
blind_1_verb_2,drive_1_verb_2
impatient_1_adjective_2,confident_1_adjective_1
save_1_noun_2,wear_1_noun_2
most_1_adverb_3,then_1_adverb_1
work_1_noun_5,bill_1_noun_5
lady_1_noun_3,name_1_noun_1
drive_1_noun_6,punch_3_noun_1
complexion_1_noun_2,attendance_1_noun_1
combination_1_noun_3,application_1_noun_1
seal_1_noun_3,root_1_noun_2
fancy_1_noun_1,style_1_noun_3
purpose_1_noun_1,husband_1_noun_1
position_1_noun_6,business_1_noun_1
discretion_1_noun_1,preference_1_noun_1
appearance_1_noun_3,connection_1_noun_1
stand_1_verb_6,cover_1_verb_6
expression_1_noun_1,difference_1_noun_1
conviction_1_noun_2,conclusion_1_noun_2
necessary_1_adjective_2,political_1_adjective_1
hunger_1_verb_2,parade_1_verb_2
reduce_1_verb_6,shower_1_verb_1
fairly_1_adverb_1,rarely_1_adverb_1
class_1_verb_1,adopt_1_verb_1
what_1_determiner_3,this_1_determiner_1
term_1_verb_1,load_1_verb_2
mere_1_adjective_1,able_1_adjective_1
kindly_1_adjective_1,uneasy_1_adjective_1
generally_1_adverb_3,elsewhere_1_adverb_1
cry_1_noun_4,eye_1_noun_1
corrupt_1_adjective_3,serious_1_adjective_1
safely_1_adverb_3,gently_1_adverb_1
likewise_1_adverb_1,properly_1_adverb_1
plain_1_adjective_3,blind_1_adjective_1
matter_1_noun_3,record_1_noun_1
approach_1_noun_3,incident_1_noun_1
composition_1_noun_4,combination_1_noun_1
plot_1_noun_1,dust_1_noun_1
proof_1_noun_1,state_1_noun_3
embrace_1_noun_2,opening_1_noun_2
afford_1_verb_2,refuse_1_verb_1
holy_1_adjective_1,best_1_adjective_1
verge_1_noun_1,quiet_1_noun_1
aged_1_adjective_2,only_1_adjective_1
shade_1_noun_4,storm_1_noun_1
seat_1_noun_4,gate_1_noun_1
word_1_noun_3,hour_1_noun_3
virtue_1_noun_1,reason_1_noun_1
conception_1_noun_2,resistance_1_noun_1
miserable_1_adjective_2,permanent_1_adjective_1
anxious_1_adjective_2,popular_1_adjective_2
infinite_1_adjective_1,complete_1_adjective_1
wreck_1_noun_1,sheet_1_noun_4
behalf_1_noun_3,listen_1_noun_1
original_1_adjective_3,ordinary_1_adjective_1
probable_1_adjective_1,constant_1_adjective_1
mail_2_verb_1,hire_1_verb_1
bound_2_noun_1,shock_1_noun_1
station_1_noun_5,reading_1_noun_1
ignorant_1_adjective_1,previous_1_adjective_1
object_1_noun_2,number_1_noun_2
cause_1_noun_2,world_1_noun_1
able_1_adjective_2,poor_1_adjective_2
rest_1_verb_3,lift_1_verb_1
host_2_noun_2,rush_1_noun_1
production_1_noun_2,substitute_1_noun_1
several_1_adjective_1,certain_1_adjective_1
tear_1_noun_1,mind_1_noun_3
humble_1_adjective_1,public_1_adjective_2
art_1_noun_4,arm_1_noun_1
foul_1_adjective_2,last_1_adjective_1
repair_2_verb_1,freeze_1_verb_1
fare_1_verb_2,bore_2_verb_1
sober_1_adjective_2,faint_1_adjective_1
engagement_1_noun_2,instrument_1_noun_3
creature_1_noun_2,universe_1_noun_1
pretend_1_adjective_1,partial_1_adjective_1
