dec_sense,stb_sense
blind_1_verb_2,drive_1_verb_2
class_1_verb_1,adopt_1_verb_1
combination_1_noun_3,application_1_noun_1
complexion_1_noun_2,attendance_1_noun_1
conviction_1_noun_2,conclusion_1_noun_2
discretion_1_noun_1,preference_1_noun_1
distinguish_1_verb_2,manufacture_1_verb_2
drive_1_noun_6,punch_3_noun_1
exercise_1_noun_3,question_1_noun_1
expression_1_noun_1,difference_1_noun_1
fairly_1_adverb_1,rarely_1_adverb_1
fancy_1_noun_1,style_1_noun_3
glare_1_noun_3,paint_1_noun_2
hunger_1_verb_2,parade_1_verb_2
impatient_1_adjective_2,confident_1_adjective_1
lady_1_noun_3,name_1_noun_1
melancholy_1_adjective_1,individual_1_adjective_2
most_1_adverb_3,then_1_adverb_1
necessary_1_adjective_2,political_1_adjective_1
nurse_1_noun_2,verge_1_noun_2
position_1_noun_6,business_1_noun_1
press_2_noun_1,scale_3_noun_2
purpose_1_noun_1,husband_1_noun_1
reduce_1_verb_6,shower_1_verb_1
rise_1_noun_4,bill_1_noun_5
save_1_noun_2,wear_1_noun_2
seal_1_noun_3,root_1_noun_2
some_1_determiner_4,this_1_determiner_1
stand_1_verb_6,cover_1_verb_6
term_1_verb_1,load_1_verb_2
afford_1_verb_2,refuse_1_verb_1
aged_1_adjective_2,only_1_adjective_1
approach_1_noun_3,incident_1_noun_1
bound_2_noun_1,shock_1_noun_1
composition_1_noun_4,combination_1_noun_1
conception_1_noun_2,resistance_1_noun_1
corrupt_1_adjective_3,serious_1_adjective_1
cry_1_noun_4,eye_1_noun_1
embrace_1_noun_2,opening_1_noun_2
generally_1_adverb_3,elsewhere_1_adverb_1
holy_1_adjective_1,best_1_adjective_1
kindly_1_adjective_1,uneasy_1_adjective_1
likewise_1_adverb_1,properly_1_adverb_1
safely_1_adverb_3,gently_1_adverb_1
mail_2_verb_1,hire_1_verb_1
matter_1_noun_3,record_1_noun_1
mere_1_adjective_1,able_1_adjective_1
