word,num_sents,mean_sent_len,med_sent_len,mean_year,med_year,num_years,min_year,max_year,num_hu19_senses,max_hu19_jsd
explore,8576,35.31,30.0,1942.8,1959.0,197,1810,2009,4,0.454
body,116792,36.13,30.0,1928.0,1931.0,200,1810,2009,9,0.439
passing,2555,38.56,31.0,1923.8,1921.0,195,1812,2009,6,0.264
start,150062,27.09,22.0,1947.7,1954.0,200,1810,2009,5,0.532
automatic,4896,30.11,26.0,1956.4,1958.0,152,1823,2009,4,0.376
take,669282,31.26,26.0,1928.7,1932.0,200,1810,2009,13,0.31
ready,68345,32.22,26.0,1921.5,1920.0,200,1810,2009,4,0.352
label,7538,31.74,27.0,1964.9,1976.0,185,1815,2009,5,0.14
downtown,5627,29.89,26.0,1973.4,1979.0,134,1846,2009,3,0.316
whether,92593,39.29,33.0,1922.3,1924.0,200,1810,2009,2,0.215
performance,19343,35.46,30.0,1942.7,1956.0,197,1810,2009,2,0.199
differently,4192,28.51,23.0,1935.9,1945.0,191,1816,2009,2,0.101
deliberate,5927,37.88,31.0,1915.9,1920.0,194,1811,2009,3,0.292
rescue,12462,34.42,29.0,1923.3,1922.0,198,1811,2009,2,0.17
knee,28928,32.19,26.0,1934.2,1939.0,199,1810,2009,3,0.134
fade,19130,32.67,26.0,1932.4,1936.0,197,1810,2009,6,0.398
delight,21454,38.75,32.0,1901.9,1896.0,200,1810,2009,2,0.072
significance,9076,35.01,30.0,1933.7,1932.0,187,1816,2009,3,0.282
understand,101375,30.39,25.0,1927.9,1929.0,199,1810,2009,3,0.189
injured,1,29.0,29.0,1899.0,1899.0,1,1899,1899,2,0.327
administration,40065,37.25,32.0,1942.1,1953.0,193,1816,2009,3,0.412
specific,14362,35.14,30.0,1952.4,1962.0,193,1816,2009,6,0.195
battered,2519,33.67,28.0,1950.1,1954.0,174,1822,2009,2,0.173
series,28910,37.07,32.0,1941.4,1952.0,194,1815,2009,7,0.319
measure,56925,38.83,33.0,1918.7,1921.0,198,1810,2009,7,0.423
foster,8291,35.16,29.0,1931.4,1937.0,196,1811,2009,2,0.328
plus,9271,33.04,29.0,1969.5,1976.0,186,1817,2009,7,0.427
figure,81850,32.95,28.0,1936.4,1941.0,199,1810,2009,9,0.683
